,Material,Color,Finish,Shape,Capacity,Weight,Height,Grasp,Swing
325,Glass,White,Rubber Ring,Cylindrical,>= 1000 mL,500 - 750 g,>= 200 mm,True,False
326,Glass,White,Twist Off,Cylindrical,>= 1000 mL,500 - 750 g,150 - 200 mm,True,False
327,Glass,White,Rubber Ring,Cylindrical,>= 1000 mL,500 - 750 g,>= 200 mm,True,False
328,Glass,White,Rubber Ring,Cylindrical,>= 1000 mL,500 - 750 g,100 - 150 mm,True,False
329,Glass,White,Rubber Ring,Cylindrical,>= 1000 mL,500 - 750 g,100 - 150 mm,True,False
330,Glass,White,Swing Top,Cylindrical,>= 1000 mL,500 - 750 g,150 - 200 mm,True,True
331,Glass,White,Wiss,Cylindrical,>= 1000 mL,500 - 750 g,150 - 200 mm,True,False
332,Glass,White,Twist Off,Cylindrical,>= 1000 mL,500 - 750 g,150 - 200 mm,True,False
333,Glass,White,Twist Off,Square,>= 1000 mL,500 - 750 g,150 - 200 mm,True,False
334,Glass,White,Rubber Ring,Cylindrical,>= 1000 mL,500 - 750 g,>= 200 mm,True,False
335,Glass,White,Wiss,Cylindrical,>= 1000 mL,500 - 750 g,>= 200 mm,True,False
336,Glass,White,Twist Off,Hexagonal,>= 1000 mL,500 - 750 g,>= 200 mm,True,False
337,Glass,White,Twist Off,Cylindrical,>= 1000 mL,500 - 750 g,150 - 200 mm,True,False
338,Glass,White,Twist Off,Complex,>= 1000 mL,500 - 750 g,150 - 200 mm,True,False
339,Glass,White,Twist Off,Hexagonal,>= 1000 mL,500 - 750 g,150 - 200 mm,True,False
340,Glass,White,Rubber Ring,Cylindrical,>= 1000 mL,750 - 1000 g,150 - 200 mm,True,False
341,Glass,White,Twist Off,Cylindrical,>= 1000 mL,500 - 750 g,>= 200 mm,True,False
342,Glass,White,Twist Off,Oval,>= 1000 mL,750 - 1000 g,>= 200 mm,True,False
343,Glass,White,Rubber Ring,Cylindrical,>= 1000 mL,<= 250 g,>= 200 mm,True,False
344,Glass,White,Twist Off,Cylindrical,>= 1000 mL,>= 1000 g,>= 200 mm,True,False
345,Glass,White,Twist Off,Cylindrical,>= 1000 mL,>= 1000 g,>= 200 mm,True,False
346,Glass,White,Twist Off,Square,500 - 750 mL,250 - 500 g,100 - 150 mm,True,False
347,Glass,White,Twist Off,Square,500 - 750 mL,250 - 500 g,100 - 150 mm,True,False
348,Glass,White,Rubber Ring,Cylindrical,250 - 500 mL,<= 250 g,50 - 100 mm,True,False
