,SKU reference,Name,Material,Color,Diameter,Height,Finish,Shape,Weight,Clearance price,Technical drawing
73,007073-93,stopper-n-8-cork-cabeza-madera-barniz-black,Cork,stopper-black,,,,,,,
74,007073-13,stopper-n-9-cork-cabeza-madera-frasca-1000,Cork,stopper-wood,,,,,,,
75,007073-18,stopper-n2-cork-cabezudo-black,Cork,stopper-black,,,,,,,
76,007075-81,stopper-pilfer-315-x-24-black,Metal,synthetic-black,,,,,,,
77,007075-99,stopper-pilfer-315-x-24-green,Metal,metal-green,,,,,,,
78,007075-197,stopper-pilfer-315x24-non-refillable-black-with-pourer,Metal,metal-black,,,,,,,
79,007075-236,stopper-pilfer-315x24-non-refillable-gold-with-pourer,Metal,metal-golden,,,,,,,
80,007075-196,stopper-pilfer-315x24-non-refillable-green-with-pourer,Metal,metal-green,,,,,,,
81,007074-565,plastic-cap-cv-manual-black-315-x-24,Plastic,plastic-black,,,,,,,
82,007075-114,plastic-cap-cv-manual-green-315-x-24,Plastic,plastic-green,,,,,,,
83,007074-341,stopper-precinto-white-pp28,Plastic,white,,,,,,,
84,007074-9,stopper-precinto-white-and-red-pp28,Plastic,plastic-white,,,,,,,
85,007074-308,red-cap-3629-two-pieces,Plastic,plastic-red,,,Lid 36/29,,,,
86,007074-402,stopper-red-38-mm-38-33-3-threads,Plastic,plastic-red,,,,,,,
87,007074-342,red-stopper-4234,Plastic,plastic-red,,,Lid 42/34,,,,
88,007074-289,tapon-rojo-pco-28-mm,Plastic,,,,PCO 28mm,,,,
89,007074-583,stopper-red-sintetico,Synthetic,synthetic-cork,,,,,,,
90,007074-287,green-cap-2921-two-pieces,Plastic,plastic-green,,,Cap 29/21,,,,
91,007074-307,green-cap-3629-two-pieces,Plastic,plastic-green,,,Lid 36/29,,,,
92,007074-396,stopper-green-38-mm-38-33-3-threads,Plastic,plastic-green,,,,,,,
93,007074-332,green-stopper-4234,Plastic,plastic-green,,,Lid 42/34,,,,
94,007074-38,silver-atomizer-18415,Plastic,,,,,,,,
95,007055-19,natural-synthetic-cork-stopper-23x10-hf,Synthetic,synthetic-cork,"23,00 mm","10,00 mm",,,1 grs,,
96,007055-8,natural-synthetic-cork-296x135-hf,Synthetic,,"29,60 mm","13,50 mm",,,1 grs,,
97,007073-61,cork-stopper-penicillin,Cork,stopper-cork,"14,00 / 12,00 mm","18,00 mm",,,1 grs,,
98,007074-379,yellow-cap-din-24,Plastic,plastic-yellow,,,,,1 grs,,
99,007074-346,non-refillable-stopper-for-bertoli-3021,Plastic,plastic-dark green,,,,,2 grs,,
100,ZRCLD0020B16XXMS,white-hinged-screw-cap-d20410,Plastic,plastic-white,"20,00 mm","17,80 mm",,cylindrical,2 grs,"0,03",
101,ZNCHD0045B11XXPR,pressure-cap-seal-hdpe-white-d45,Plastic,plastic-white,,"16,30 mm",,,3 grs,,
102,ZNCBD0038B11XXNO,low-density-polyethylene-seal-pressure-cap-white-d38,Plastic,plastic-white,,"14,45 mm",,,3 grs,,
103,ZRCLD0020B15XXMS,white-disc-top-screw-cap-d20410,Plastic,plastic-white,"20,00 mm","24,30 mm",,cylindrical,3 grs,"0,03",
104,ZRCLD0020N11XXSL,natural-disc-top-screw-cap-d20410,Plastic,plastic-white,"20,00 mm","26,00 mm",,cylindrical,3 grs,"0,038",
105,ZRCLD0024B11XXJA,screw-cap-pp-white-d24,Plastic,plastic-white,,"50,00 mm",,,3 grs,,
106,ZXCHD0018BR3XXGA,hdpe-screw-cap-seal-white--red-d18,Plastic,plastic-white,,"20,50 mm",,,3 grs,,
107,ZXCHD0028B11XXBR,screw-cap-hdpe-seal-white-approved-disc-d28,Plastic,plastic-white,,"20,60 mm",,,3 grs,,
108,007055-15,diff-plug-nero-d238-h152-3holes,Plastic,plastic-black,"23,00 mm","15,00 mm",,cylindrical,4 grs,,⬇ 24522
109,ZNCHD0040B11XXPP,pressure-cap-seal-hdpe-white-d40,Plastic,plastic-white,,"16,30 mm",,,4 grs,,
110,007074-509,plastic-stopper-24410,Plastic,,,,,,4 grs,,
111,007075-307,plastic-cap-alia-flip-35-mm-24410,Plastic,,,,,,4 grs,,
112,007074-516,24410-pink-plastic-cap,Plastic,,,,,,4 grs,,
113,007074-519,translucent-plastic-stopper-24410,Plastic,,,,,,4 grs,,
114,007074-158,tapon-precinto-pp18-negro,Plastic,black,"23,00 mm","18,00 mm",,,4 grs,,
115,ZRCLD0024B15XXMS,white-hinged-rayed-screw-cap-d24410,Plastic,plastic-white,"24,00 mm","20,00 mm",,cylindrical,4 grs,,
116,007074-83,silver-cap-13415,Metal,metal-silverish,,,,,5 grs,,
117,007074-166,white-ball-stopper-13415,Plastic,plastic-white,,,,,5 grs,,
118,007074-429,green-cap-din-24,Plastic,plastic-green,,,LataAceite-Din 24,,5 grs,,
119,007074-430,green-cap-din-32,Plastic,plastic-green,,,,,5 grs,,
120,ZRCLD0024B11XXBH,white-hinged-screw-cap-d24410,Plastic,plastic-white,"24,00 mm","31,80 mm",,cylindrical,5 grs,,
121,ZRCLD0024B13XXMS,white-disc-top-screw-cap-d24410,Plastic,plastic-white,"24,00 mm","27,30 mm",,cylindrical,5 grs,,
122,ZRCLD0024B12XXSL,white-smooth-disc-top-screw-cap-d24410,Plastic,plastic-white,"24,00 mm","29,80 mm",,cylindrical,5 grs,"0,052",
123,ZRCLD0024B12XXAU,white-hinged-screw-cap-d24410,Plastic,plastic-white,"24,00 mm","27,38 mm",,cylindrical,5 grs,,
124,ZRCLD0024N13XXJA,natural-disc-top-screw-cap-d24410,Plastic,plastic-white,"24,00 mm","27,00 mm",,cylindrical,5 grs,"0,041",
125,ZRCLD0028B15XXMS,white-hinged-rayed-screw-cap-d28410,Plastic,plastic-white,"28,00 mm","21,33 mm",,cylindrical,5 grs,"0,044",
126,ZRCLD0028N11XXLO,natural-pp-d28-screw-cap,Plastic,plastic-white,,"24,00 mm",,cylindrical,5 grs,,
127,ZRCLD0038G21XXSL,screw-plug-pp-black-d38,Plastic,plastic-black,,"19,20 mm",,,5 grs,,
128,ZXCHD0028BBGXXGA,screw-cap-hdpe-seal-white-d28,Plastic,plastic-white,,"23,40 mm",,,5 grs,,
129,ZXCHD0028B1AXXGA,screw-cap-hdpe-seal-white-dropper-d28,Plastic,plastic-white,,"24,00 mm",,,5 grs,,
130,ZXCHD0028BBCXXGA,screw-cap-hdpe-seal-white-seal-d28,Plastic,plastic-white,,"23,90 mm",,,5 grs,,
131,ZXCHD0028BB6XXGA,screw-cap-hdpe-seal-white-taps-safety-d28,Plastic,plastic-white,,,,,5 grs,,
