,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Shape,Finish,Units per pasteurizer,Technical drawing,Length,Width
564,008082-349,1590 ml,633 grs,Glass,"100,00 mm","210,00 mm",glass-white,cylindrical,Weck 100 mm,,,,
565,008081-241,1610 ml,715 grs,Glass,"116,00 mm","213,10 mm",glass-white,cylindrical,Le Parfait - Finish Wiss 110 mm,,,,
566,008082-1560,1700 ml,600 grs,Glass,"102,00 mm","200,00 mm",glass-white,hexagonal,Twist Off TO 100,,,,
567,10175,1700 ml,600 grs,Glass,"134,00 mm","175,00 mm",glass-white,cylindrical,Twist Off TO 82,,,,
568,008081-303,1700 ml,635 grs,Glass,"146,70 / 88,00 mm","154,50 mm",glass-white,cylindrical,Twist Off TO 110,4,,,
569,008081-4,1700 ml,650 grs,Glass,"135,00 mm","190,50 mm",glass-white,curved,Twist Off TO 100,5,,,
570,30763,1700 ml,650 grs,Glass,"148,00 mm","152,00 mm",glass-white,complex,Twist Off TO 110,,,,
571,10281,1700 ml,665 grs,Glass,"123,00 mm","197,00 mm",glass-white,hexagonal,Twist Off TO 100,,,,
572,008081-560,1700 ml,690 grs,Glass,"110,90 mm","197,30 mm",white,hexagonal,BG-Twist off,,⬇ 9165,,
573,008081-319,1700 ml,750 grs,Glass,"137,90 mm","193,90 mm",glass-white,rectangular,Twist Off TO 100,4,⬇ 18417,,
574,008081-448,1700 ml,750 grs,Glass,"141,00 mm","224,70 mm",white,cylindrical,BG-Twist off,,⬇ 6706,,
575,008081-513,1700 ml,750 grs,Glass,"118,60 mm","193,50 mm",white,cylindrical,BG-Twist off,,⬇ 21139,,
576,008082-376,1750 ml,901 grs,Glass,"120,00 mm","193,00 mm",glass-white,cylindrical,Weck 100 mm,,,,
577,008082-39,1966 ml,700 grs,Glass,"122,70 mm","206,00 mm",glass-white,cylindrical,Twist Off TO 110,5,,,
578,008081-514,1966 ml,700 grs,Glass,"122,70 mm","206,00 mm",white,cylindrical,BG-Twist off,,⬇ 25898,,
579,POCH0002LN12XXBP,2000 ml,89 grs,Plastic,"118,00 mm","226,00 mm",plastic-white,,,,,,
580,POCH0002LB11XXBP,2000 ml,95 grs,Plastic,"119,00 mm","230,00 mm",plastic-white,,,,,,
581,PA BA 2200BL A00,2000 ml,106 grs,Plastic,"200,00 mm","220,00 mm",plastic-white,cylindrical,,,⬇ PA BA 2200BL A00,,
582,008081-376,2000 ml,771 grs,Glass,"123,00 mm","239,00 mm",white,cylindrical,Le Parfait - Boca Rosca 100 mm,,,,
583,008081-226,2175 ml,886 grs,Glass,"122,30 mm","251,60 mm",glass-white,cylindrical,Le Parfait - Finish Latex 85 mm,,,,
584,00138-706,2200 ml,650 grs,Glass,"180,00 mm","175,00 mm",glass-white,complex,,,,,
585,008082-82,2650 ml,950 grs,Glass,"159,00 mm","218,50 mm",glass-white,oval,Twist Off TO 89,3,,,
586,008082-375,2700 ml,110 grs,Glass,"100,00 mm","242,00 mm",glass-white,cylindrical,Weck 100 mm,,,,
587,POCP0003LB1MXXNO,3000 ml,110 grs,Plastic,"125,00 mm","220,70 mm",plastic-white,,,,,,
588,008081-377,3000 ml,1208 grs,Glass,"138,00 mm","270,00 mm",white,cylindrical,Le Parfait - Boca Rosca 110 mm,,,,
589,008081-508,3100 ml,1050 grs,Glass,"137,70 mm","257,00 mm",white,cylindrical,BG-Twist off,,⬇ 10652,,
590,008081-503,3100 ml,1100 grs,Glass,"138,50 mm","257,00 mm",white,cylindrical,BG-Twist off,,⬇ 21138,,
591,008081-570,3100 ml,1300 grs,Glass,"124,50 mm","256,50 mm",white,square,BG-Twist off,,⬇ 18762,,
592,008081-227,3200 ml,1401 grs,Glass,"138,00 mm","284,00 mm",glass-white,cylindrical,Le Parfait - Finish Latex 100 mm,,,,
593,10391,3895 ml,1200 grs,Glass,"155,00 mm","256,00 mm",glass-white,cylindrical,Twist Off TO 110,,,,
594,008082-38,3895 ml,1390 grs,Glass,"159,00 mm","254,50 mm",glass-white,cylindrical,Twist Off TO 110,3,,,
595,008081-516,3895 ml,1390 grs,Glass,"159,00 mm","254,50 mm",white,cylindrical,BG-Twist off,,⬇ 25900,,
596,POCP0004LC1MXXNO,4000 ml,146 grs,Plastic,"125,00 mm","257,60 mm",plastic-blue,,,,,,
597,008081-364,4000 ml,1250 grs,Glass,"159,00 mm",,glass-white,cylindrical,,,,,
598,008081-12,4250 ml,1800 grs,Glass,"193,00 mm","300,00 mm",glass-white,curved,Twist Off TO 110,0,,,
599,008081-361,5000 ml,1250 grs,Glass,"175,00 mm","263,00 mm",glass-white,cylindrical,,,,,
600,POCP0006LB1MXXNO,6000 ml,240 grs,Plastic,"182,00 mm","283,00 mm",plastic-white,,,,,,
601,FR SP 1800 P UN A00,18000 ml,830 grs,Plastic,"336,00 mm","288,00 mm",plastic-white,,,,⬇ FR SP 1800 P UN A00<,,
