,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Shape,Finish,Units per pasteurizer,Technical drawing,Length,Width
397,00138-672,415 ml,290 grs,Glass,"770,00 mm","136,00 mm",glass-blue,cylindrical,,,,,
398,008081-512,425 ml,203 grs,Glass,"86,00 mm","96,50 mm",white,cylindrical,BG-Twist off,,⬇ 19572,,
399,008082-395,425 ml,212 grs,Glass,"86,00 mm","96,00 mm",glass-white,cylindrical,Twist Off TO 82,,,,
400,008082-1608,425 ml,248 grs,Glass,"100,00 mm","86,00 mm",glass-white,cylindrical,BG-Screw,,,,
401,37894,425 ml,335 grs,Glass,"100,00 / 88,00 mm","84,00 mm",glass-white,cylindrical,Le parfait Bistrot 86,,⬇ 37894,,
402,30765,430 ml,205 grs,Glass,"74,00 mm","125,00 mm",glass-white,cylindrical,Twist Off TO 66,,,,
403,008081-482,435 ml,225 grs,Glass,"82,00 mm","114,50 mm",white,cylindrical,BG-Twist off,,⬇ 13642,,
404,008081-231,435 ml,425 grs,Glass,"98,50 mm","98,10 mm",glass-white,cylindrical,Le Parfait - Finish Latex 85 mm,,,,
405,008081-262,440 ml,230 grs,Glass,"81,00 mm","117,00 mm",glass-white,cylindrical,Twist Off TO 82,26,,,
406,008081-489,440 ml,240 grs,Glass,"81,80 mm","117,00 mm",white,cylindrical,BG-Twist off,,⬇ 29908,,
407,008081-545,440 ml,250 grs,Glass,"90,70 mm","84,50 mm",white,cylindrical,BG-Swing Top,,⬇ 19922,,
408,008082-68,445 ml,248 grs,Glass,"81,60 mm","113,00 mm",glass-white,cylindrical,Twist Off TO 77,28,,,
409,008081-501,446 ml,195 grs,Glass,"82,50 mm","102,50 mm",white,cylindrical,BG-Twist off,,⬇ 61,,
410,POCP0450CT19XXPP,450 ml,36 grs,Plastic,"104,00 mm","72,50 mm",plastic-transparent,,,,,,
411,008081-580,460 ml,230 grs,Glass,"86,00 mm","107,50 mm",white,cylindrical,BG-Twist off,,⬇ 22695,,
412,10402,467 ml,235 grs,Glass,"66,00 mm","168,00 mm",glass-white,cylindrical,Twist Off TO 63,,,,
413,008082-59,467 ml,240 grs,Glass,"67,00 mm","170,00 mm",glass-white,cylindrical,Twist Off TO 63,21,,,
414,008082-1599,470 ml,243 grs,Glass,"85,00 mm","132,00 mm",glass-white,cylindrical,Twist Off TO 66 Tall,,,,
415,008081-526,475 ml,285 grs,Glass,"99,20 mm","81,20 mm",white,cylindrical,BG-Twist off,,⬇ 11732,,
416,008082-109,480 ml,250 grs,Glass,"76,50 mm","145,50 mm",glass-white,cylindrical,Twist Off TO 66,16,,,
417,POCP0500CT14XXPP,500 ml,29 grs,Plastic,"79,00 mm","137,00 mm",plastic-transparent,,,,,,
418,004041-130,500 ml,32 grs,Plastic,"62,00 mm","199,70 mm",plastic-transparent,cylindrical,Thread 24/410,,,,
419,POCP0500CA11XXPP,500 ml,33 grs,Plastic,"78,00 mm","139,00 mm",plastic-topaz,,,,,,
420,POCH0500CB11XXLO,500 ml,34 grs,Plastic,"95,00 mm","103,00 mm",plastic-white,,,,,,
421,POCH0500CB11XXBP,500 ml,36 grs,Plastic,"101,00 mm","100,00 mm",plastic-white,,,,,,
422,POCL0500CB11XXPR,500 ml,36 grs,Plastic,,"105,30 mm",plastic-white,,,,,,
423,POCH0500CB11XXBH,500 ml,39 grs,Plastic,"100,00 mm","93,50 mm",plastic-white,,,,,,
424,PA BA 1050BL A00,500 ml,43 grs,Plastic,"100,00 mm","87,00 mm",plastic-white,cylindrical,,,⬇ PA BA 1050BL A00,,
425,PA BA 1050BL B00,500 ml,45 grs,Plastic,"103,00 mm","87,00 mm",plastic-white,cylindrical,,,⬇ PA BA 1050BL B00,,
426,POCP0500CT17XXPP,500 ml,46 grs,Plastic,"93,00 mm","103,40 mm",plastic-transparent,,,,,,
427,POCH0500CN13XXML,500 ml,48 grs,Plastic,"80,00 mm","130,00 mm",plastic-white,,,,,,
428,POCH1500CB11XXBP,500 ml,81 grs,Plastic,"119,00 mm","184,00 mm",plastic-white,,,,,,
429,POCP7500CC1BXXPI,500 ml,240 grs,Plastic,"125,00 mm","281,00 mm",plastic-blue,,,,,,
430,10547,500 ml,260 grs,Glass,"74,00 mm","151,00 mm",glass-white,cylindrical,Twist Off TO 70 Tall,,,,
431,008081-525,500 ml,270 grs,Glass,"70,20 mm","164,00 mm",white,cylindrical,BG-Twist off,,⬇ 26413,,
432,10137,500 ml,280 grs,Glass,"75,00 mm","140,00 mm",glass-white,square,Twist Off TO 70 Tall,,,,
433,008081-359,500 ml,530 grs,Glass,"106,00 mm","98,00 mm",glass-white,square,,,,,
434,10578,520 ml,250 grs,Glass,"78,00 mm","147,00 mm",glass-white,cylindrical,Twist Off TO 66,,,,
435,008081-497,520 ml,280 grs,Glass,"75,70 mm","140,50 mm",white,square,Twist Off TO 70 Tall,,⬇ 28677,,
436,002022-941,530 ml,398 grs,Glass,"60,00 mm","184,00 mm",glass-white,cylindrical,Weck 60 mm,,,,
437,008081-237,539 ml,295 grs,Glass,"103,50 mm","93,80 mm",glass-white,cylindrical,Le Parfait - Finish Wiss 100 mm,,,,
438,008082-367,545 ml,426 grs,Glass,"108,00 mm","113,00 mm",glass-white,square,Weck 100 mm,,,,
439,POCH0560CB16XXNO,560 ml,38 grs,Plastic,"93,73 mm","100,33 mm",plastic-white,,,,,,
