,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Finish,Shape,Units per pasteurizer,Technical drawing
105,008081-288,156 ml,160 grs,Glass,"69,80 mm","56,70 mm",glass-white,Twist Off TO 66 Tall,square,80,⬇ 17534
106,008081-213,156 ml,190 grs,Glass,"74,00 mm","61,00 mm",glass-white,Twist Off TO 70 Tall,cylindrical,68,
107,008082-33,159 ml,145 grs,Glass,"46,50 mm","150,00 mm",white,Twist Off TO 43,cylindrical,45,
108,008082-69,160 ml,103 grs,Glass,"57,00 mm","92,50 mm",white,Twist Off TO 53,cylindrical,58,
109,008082-359,160 ml,174 grs,Glass,"60,00 mm","80,00 mm",glass-white,Weck 60 mm,cylindrical,,
110,008081-611,161 ml,115 grs,Glass,"62,00 mm","76,70 mm",white,BG-Twist off,cylindrical,,⬇ 19708
111,008082-347,165 ml,27 grs,Glass,"80,00 mm","47,00 mm",glass-white,Weck 80 mm,cylindrical,,
112,008081-486,167 ml,120 grs,Glass,"62,50 mm","72,70 mm",white,BG-Twist off,cylindrical,,⬇ 14952
113,008082-29,167 ml,125 grs,Glass,"61,80 mm","72,70 mm",white,Twist Off TO 66,cylindrical,63,
114,008081-265,167 ml,127 grs,Glass,"66,00 mm","72,70 mm",glass-white,Twist Off TO 66,cylindrical,63,
115,008081-472,167 ml,135 grs,Glass,"52,30 mm","115,00 mm",white,BG-Twist off,cylindrical,,⬇ 12776
116,008081-546,167 ml,235 grs,Glass,"62,30 mm","89,20 mm",white,BG-Swing Top,cylindrical,,⬇ 12221
117,008082-1668,167 ml,236 grs,Glass,"78,00 mm","62,00 mm",glass-white,,cylindrical,,
118,008082-403,180 ml,122 grs,Glass,"62,00 mm","86,00 mm",glass-white,Twist Off TO 63,cylindrical,,
119,008081-480,186 ml,120 grs,Glass,"77,30 mm","53,10 mm",white,BG-Twist off,cylindrical,,⬇ 10496
120,008081-576,190 ml,140 grs,Glass,"86,20 mm","49,40 mm",white,Twist Off TO 82 Alta,cylindrical,,⬇ 22699
121,008081-591,192 ml,145 grs,Glass,"68,70 mm","93,20 mm",white,BG-Twist off,complex,,⬇ 12552
122,008081-557,196 ml,140 grs,Glass,"60,80 mm","86,90 mm",white,BG-Twist off,hexagonal,,⬇ 173
123,008081-642,200 ml,150 grs,Glass,"79,50 mm","72,00 mm",white,BG-Twist off,square,,⬇ 10823
124,008081-268,200 ml,163 grs,Glass,"69,70 / 61,00 mm","89,00 mm",glass-white,Twist Off TO 58,hexagonal,51,
125,008082-346,200 ml,170 grs,Glass,"60,00 mm","120,00 mm",glass-white,Weck 60 mm,cylindrical,,
126,008082-364,200 ml,174 grs,Glass,"80,00 / 68,00 mm","55,00 mm",glass-white,Weck 80 mm,cylindrical,,
127,008081-261,200 ml,202 grs,Glass,"56,00 mm","170,80 mm",glass-white,Twist Off TO 43,cylindrical,17,
128,008081-230,200 ml,299 grs,Glass,"83,30 mm","73,00 mm",glass-white,Le Parfait - Finish Latex 70 mm,cylindrical,,
129,008082-1728,200 ml,375 grs,Glass,"83,00 mm","95,00 mm",glass-white,,cylindrical,,
130,008082-399,205 ml,140 grs,Glass,"73,20 mm","63,30 mm",glass-white,Twist Off TO 77,cylindrical,,
131,008081-543,205 ml,330 grs,Glass,"77,70 mm","58,00 mm",white,BG-Swing Top,cylindrical,,⬇ 19920
132,008082-44,207 ml,150 grs,Glass,"79,50 / 69,50 mm","72,00 mm",white,Twist Off TO 66,square,57,
133,008082-72,209 ml,119 grs,Glass,"62,00 mm","95,40 mm",glass-white,Twist Off TO 58,cylindrical,,
134,008082-398,209 ml,119 grs,Glass,"62,00 mm","95,40 mm",glass-white,Twist Off TO 58,cylindrical,,
135,008082-63,210 ml,140 grs,Glass,"94,00 mm","43,50 mm",white,S/D 210,cylindrical,54,
136,008082-284,210 ml,140 grs,Glass,"85,00 mm","83,00 mm",glass-white,Twist Off TO 63,cylindrical,,
137,008082-83,211 ml,194 grs,Glass,"50,30 mm","170,00 mm",glass-white,Twist Off 48,cylindrical,39,⬇ 14705
138,008082-8,212 ml,120 grs,Glass,"67,50 mm","81,00 mm",white,Twist Off TO 63,cylindrical,63,
139,008082-70,212 ml,120 grs,Glass,"61,50 mm","104,00 mm",white,Twist Off TO 58,cylindrical,50,
140,008082-277,212 ml,120 grs,Glass,"60,90 mm","96,80 mm",white,Twist Off TO 58,cylindrical,48,
141,008081-464,212 ml,120 grs,Glass,"60,60 mm","104,20 mm",white,BG-Twist off,cylindrical,,⬇ 18436
142,008082-343,212 ml,120 grs,Glass,"61,50 mm","90,00 mm",glass-white,Twist Off TO 63,cylindrical,,
143,008081-276,212 ml,124 grs,Glass,"69,30 mm","77,00 mm",glass-white,Twist Off TO 66 Tall,cylindrical,51,
144,008081-530,212 ml,125 grs,Glass,"57,40 mm","109,10 mm",white,BG-Twist off,cylindrical,,⬇ 23997
145,008082-145,212 ml,130 grs,Glass,"64,80 mm","95,20 mm",glass-white,Twist Off TO 58,octogonal,46,
146,008081-499,212 ml,130 grs,Glass,"71,90 mm","74,50 mm",white,BG-Twist off,cylindrical,,⬇ 18197
147,008081-628,212 ml,135 grs,Glass,"92,20 mm","51,70 mm",white,BG-Twist off,cylindrical,,⬇ 3465
148,008081-471,212 ml,140 grs,Glass,"71,00 mm","89,50 mm",white,BG-Twist off,cylindrical,,⬇ 13016
