,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Finish,Shape,Units per pasteurizer,Technical drawing
277,008081-40,314 ml,250 grs,Glass,"96,00 / 76,00 mm","88,50 mm",glass-white,Twist Off TO 63,square,27,
278,008081-633,314 ml,250 grs,Glass,"71,20 mm","102,00 mm",white,BG-Twist off,square,,⬇ 18419
279,008081-291,314 ml,280 grs,Glass,,"99,50 mm",glass-white,Twist Off TO 66 Tall,rectangular,42,⬇ 17536
280,29529,314 ml,350 grs,Glass,"87,00 mm","95,90 mm",extrablack,BG-Screw,cylindrical,,⬇ 29529
281,29454,314 ml,350 grs,Glass,"79,50 mm","104,00 mm",extrawhite,BG-Screw,cylindrical,,⬇ 29454
282,008081-595,314 ml,540 grs,Glass,"85,00 mm","94,30 mm",white,BG-Twist off,square,,⬇ 9882
283,008082-253,315 ml,258 grs,Glass,,"205,00 mm",glass-white,Twist Off TO 38 MTO,conical,66,
284,008081-600,317 ml,205 grs,Glass,"72,20 mm","114,50 mm",white,BG-Twist off,octogonal,,⬇ 17940
285,008081-463,320 ml,180 grs,Glass,"69,50 mm","120,00 mm",white,BG-Twist off,cylindrical,,⬇ 12428
286,008082-211,320 ml,210 grs,Glass,,"198,00 mm",glass-white,Twist Off TO 38 MTO,conical,66,
287,008081-589,324 ml,190 grs,Glass,"82,00 mm","93,50 mm",white,BG-Twist off,cylindrical,,⬇ 8641
288,008081-275,327 ml,190 grs,Glass,"69,30 mm","112,60 mm",glass-white,Twist Off TO 66 Tall,cylindrical,40,
289,008082-295,327 ml,195 grs,Glass,"69,30 mm","112,50 mm",white,BG-Twist off,cylindrical,,⬇ 16200
290,10186,330 ml,168 grs,Glass,"85,00 mm","75,00 mm",glass-white,Twist Off TO 82,cylindrical,,
291,008081-500,330 ml,170 grs,Glass,"85,60 mm","74,40 mm",white,BG-Twist off,cylindrical,,⬇ 17171
292,008081-532,330 ml,170 grs,Glass,"65,70 mm","117,00 mm",white,BG-Twist off,square,,⬇ 26989
293,008082-405,330 ml,178 grs,Glass,"84,00 mm","70,40 mm",glass-white,Twist Off TO 82,cylindrical,,
294,30596,335 ml,185 grs,Glass,"70,00 mm","112,00 mm",glass-white,Twist Off TO 66 Tall,cylindrical,,
295,008082-348,340 ml,300 grs,Glass,"60,00 mm","130,00 mm",glass-white,Weck 60 mm,cylindrical,,
296,008082-67,347 ml,170 grs,Glass,"80,20 mm","88,80 mm",glass-white,Twist Off TO 77,cylindrical,45,
297,008081-264,350 ml,210 grs,Glass,"86,00 mm","91,50 mm",glass-white,Twist Off TO 82,cylindrical,26,
298,008081-485,350 ml,215 grs,Glass,"86,30 mm","94,70 mm",white,BG-Twist off,cylindrical,,⬇ 17434
299,008081-477,350 ml,230 grs,Glass,"86,00 mm","97,50 mm",white,BG-Twist off,cylindrical,,⬇ 22905
300,008081-518,358 ml,200 grs,Glass,"63,00 mm","151,00 mm",white,BG-Twist off,cylindrical,,⬇ 27173
301,10390,358 ml,220 grs,Glass,"62,00 mm","153,00 mm",glass-white,Twist Off TO 58,cylindrical,,
302,008082-58,358 ml,230 grs,Glass,"63,50 mm","153,00 mm",glass-white,Twist Off TO 58,cylindrical,23,
303,008081-254,359 ml,195 grs,Glass,"73,00 mm","110,70 mm",glass-white,Twist Off TO 70 Tall,cylindrical,38,⬇ 20427
304,008082-16,370 ml,160 grs,Glass,"72,50 mm","118,00 mm",glass-white,Twist Off TO 63,cylindrical,38,
305,008082-1590,370 ml,165 grs,Glass,"85,60 mm","97,50 mm",glass-white,Twist Off TO 63,complex,,
306,008081-144,370 ml,170 grs,Glass,"80,00 mm","99,00 mm",glass-white,Twist Off TO 66,cylindrical,30,
307,008082-74,370 ml,170 grs,Glass,"68,50 mm","138,00 mm",glass-white,Twist Off TO 63,cylindrical,21,
308,008082-1747,370 ml,172 grs,Glass,"80,00 mm","93,00 mm",glass-white,Twist Off TO 77,cylindrical,,
309,008082-299,370 ml,175 grs,Glass,"71,80 mm","122,00 mm",glass-white,Twist Off TO 66 Tall,cylindrical,38,
310,008082-409,370 ml,180 grs,Glass,"85,60 mm","84,40 mm",glass-white,Twist Off TO 82,cylindrical,,
311,008082-71,370 ml,180 grs,Glass,"71,40 mm","130,80 mm",glass-white,Twist Off TO 63,cylindrical,38,
312,008082-387,370 ml,180 grs,Glass,"81,00 mm","93,30 mm",white,BG-Twist off,cylindrical,,⬇ 25902
313,10598,370 ml,185 grs,Glass,"67,00 mm","135,00 mm",glass-white,Twist Off TO 63,cylindrical,,
314,008081-206,370 ml,190 grs,Glass,"74,00 mm","119,00 mm",glass-white,Twist Off TO 66,cylindrical,34,
315,008081-305,370 ml,190 grs,Glass,"87,30 mm","106,00 mm",white,Twist Off TO 63,cylindrical,,⬇ 17377
316,008081-626,370 ml,190 grs,Glass,"104,00 mm","66,80 mm",white,BG-Twist off,cylindrical,,⬇ 22902
317,008081-462,370 ml,195 grs,Glass,"71,30 mm","131,00 mm",white,BG-Twist off,cylindrical,,⬇ 10240
318,008082-87,370 ml,200 grs,Glass,"84,50 mm","107,00 mm",glass-white,Twist Off TO 66,oval,26,
319,008081-502,370 ml,200 grs,Glass,"85,60 mm","84,40 mm",white,BG-Twist off,cylindrical,,⬇ 23604
320,008082-10,370 ml,200 grs,Glass,"81,00 mm","93,85 mm",glass-white,Twist Off TO 77,cylindrical,28,
321,10248,370 ml,215 grs,Glass,"74,00 mm","104,00 mm",glass-white,Twist Off TO 70 Tall,square,,
322,008081-496,370 ml,215 grs,Glass,"74,10 mm","104,50 mm",white,Twist Off TO 70 Tall,square,,⬇ 27276
323,30581,370 ml,215 grs,Glass,"67,00 mm","135,00 mm",glass-white,Twist Off TO 63 Tall,cylindrical,,
324,10488,370 ml,220 grs,Glass,"74,00 mm","121,00 mm",glass-white,Twist Off TO 70 Tall,cylindrical,,
325,008081-541,370 ml,220 grs,Glass,"73,40 mm","114,50 mm",white,BG-Twist off,cylindrical,,⬇ 19097
326,008081-490,370 ml,229 grs,Glass,"86,20 mm","97,50 mm",white,BG-Twist off,cylindrical,,⬇ 30040
327,10269,370 ml,230 grs,Glass,"65,00 mm","80,00 mm",glass-white,Twist Off TO 63,complex,,
328,008081-648,370 ml,230 grs,Glass,"73,40 mm","114,50 mm",white,BG-Twist off,cylindrical,,⬇ 23584
329,008081-643,370 ml,240 grs,Glass,"79,50 mm","121,90 mm",white,BG-Twist off,square,,⬇ 10824
330,008081-214,370 ml,250 grs,Glass,"74,00 mm","116,00 mm",glass-white,Twist Off TO 70 Tall,cylindrical,34,
331,008081-450,370 ml,250 grs,Glass,"82,00 mm","137,00 mm",white,BG-Twist off,cylindrical,,⬇ 11644
332,008082-345,370 ml,260 grs,Glass,"80,00 mm","123,00 mm",glass-white,Weck 80 mm,cylindrical,,
333,007071-976,370 ml,320 grs,Glass,"68,00 mm","171,00 mm",glass-white,Twist Off TO 63,cylindrical,,
334,008082-65,370 ml,320 grs,Glass,"68,00 mm","171,00 mm",glass-white,Twist Off TO 63,cylindrical,21,
335,008082-373,370 ml,388 grs,Glass,"100,00 mm","69,00 mm",glass-white,Weck 100 mm,cylindrical,,
336,008081-550,370 ml,410 grs,Glass,"78,70 mm","114,20 mm",white,BG-Swing Top,cylindrical,,⬇ 156
337,008082-23,377 ml,240 grs,Glass,"79,50 mm","121,90 mm",glass-white,Twist Off TO 66,square,30,
338,008082-49,380 ml,205 grs,Glass,"75,00 mm","116,30 mm",glass-white,Twist Off TO 66,cylindrical,34,
339,10158,380 ml,295 grs,Glass,"99,00 mm","82,00 mm",glass-white,Twist Off TO 82,hexagonal,,
340,008081-631,380 ml,300 grs,Glass,"77,50 mm","103,50 mm",white,BG-Twist off,square,,⬇ 7200
341,008082-51,385 ml,230 grs,Glass,"82,50 mm","105,50 mm",glass-white,Twist Off TO 66,cylindrical,28,
342,008081-520,388 ml,210 grs,Glass,"83,20 mm","92,40 mm",white,BG-Twist off,cylindrical,,⬇ 9224
343,008082-270,390 ml,165 grs,Glass,"79,70 mm","102,00 mm",white,BG-Twist off,cylindrical,,⬇ 11234
344,10524,390 ml,180 grs,Glass,"80,00 mm","102,00 mm",glass-white,Twist Off TO 70 Tall,cylindrical,,
345,008081-573,390 ml,200 grs,Glass,"69,30 mm","130,20 mm",white,Twist Off 66 Deep,cylindrical,,⬇ 23983
346,008081-622,390 ml,205 grs,Glass,"73,20 mm","117,60 mm",white,BG-Twist off,cylindrical,,⬇ 15118
347,008081-620,390 ml,220 grs,Glass,"73,30 mm","114,00 mm",white,BG-Twist off,octogonal,,⬇ 23654
348,008081-216,390 ml,230 grs,Glass,"90,00 mm","99,00 mm",glass-white,Twist Off TO 70,hexagonal,,
349,008081-559,390 ml,240 grs,Glass,"79,20 mm","69,70 mm",white,BG-Twist off,hexagonal,,⬇ 178
350,32075,395 ml,220 grs,Glass,"89,30 mm","106,50 mm",white,BG-Twist off,cylindrical,,⬇32075P2
351,008081-421,400 ml,309 grs,Glass,"85,00 mm","120,00 mm",glass-white,,cylindrical,,
352,008081-552,400 ml,365 grs,Glass,"94,60 mm","95,00 mm",white,BG-Swing Top,cylindrical,,⬇ 9133
353,008081-410,410 ml,180 grs,Glass,"84,00 mm","95,00 mm",glass-white,Twist Off TO 82 Alta,cylindrical,,
354,008081-614,410 ml,220 grs,Glass,"85,40 mm","94,50 mm",white,BG-Twist off,cylindrical,,⬇ 15284
355,00138-672,415 ml,290 grs,Glass,"770,00 mm","136,00 mm",glass-blue,,cylindrical,,
356,008081-512,425 ml,203 grs,Glass,"86,00 mm","96,50 mm",white,BG-Twist off,cylindrical,,⬇ 19572
357,008082-395,425 ml,212 grs,Glass,"86,00 mm","96,00 mm",glass-white,Twist Off TO 82,cylindrical,,
358,008082-1608,425 ml,248 grs,Glass,"100,00 mm","86,00 mm",glass-white,BG-Screw,cylindrical,,
359,37894,425 ml,335 grs,Glass,"100,00 / 88,00 mm","84,00 mm",glass-white,Le parfait Bistrot 86,cylindrical,,⬇ 37894
360,30765,430 ml,205 grs,Glass,"74,00 mm","125,00 mm",glass-white,Twist Off TO 66,cylindrical,,
361,008081-482,435 ml,225 grs,Glass,"82,00 mm","114,50 mm",white,BG-Twist off,cylindrical,,⬇ 13642
362,008081-231,435 ml,425 grs,Glass,"98,50 mm","98,10 mm",glass-white,Le Parfait - Finish Latex 85 mm,cylindrical,,
363,008081-262,440 ml,230 grs,Glass,"81,00 mm","117,00 mm",glass-white,Twist Off TO 82,cylindrical,26,
364,008081-489,440 ml,240 grs,Glass,"81,80 mm","117,00 mm",white,BG-Twist off,cylindrical,,⬇ 29908
365,008081-545,440 ml,250 grs,Glass,"90,70 mm","84,50 mm",white,BG-Swing Top,cylindrical,,⬇ 19922
366,008082-68,445 ml,248 grs,Glass,"81,60 mm","113,00 mm",glass-white,Twist Off TO 77,cylindrical,28,
367,008081-501,446 ml,195 grs,Glass,"82,50 mm","102,50 mm",white,BG-Twist off,cylindrical,,⬇ 61
368,008081-580,460 ml,230 grs,Glass,"86,00 mm","107,50 mm",white,BG-Twist off,cylindrical,,⬇ 22695
369,10402,467 ml,235 grs,Glass,"66,00 mm","168,00 mm",glass-white,Twist Off TO 63,cylindrical,,
370,008082-59,467 ml,240 grs,Glass,"67,00 mm","170,00 mm",glass-white,Twist Off TO 63,cylindrical,21,
371,008082-1599,470 ml,243 grs,Glass,"85,00 mm","132,00 mm",glass-white,Twist Off TO 66 Tall,cylindrical,,
372,008081-526,475 ml,285 grs,Glass,"99,20 mm","81,20 mm",white,BG-Twist off,cylindrical,,⬇ 11732
373,008082-109,480 ml,250 grs,Glass,"76,50 mm","145,50 mm",glass-white,Twist Off TO 66,cylindrical,16,
374,10547,500 ml,260 grs,Glass,"74,00 mm","151,00 mm",glass-white,Twist Off TO 70 Tall,cylindrical,,
375,008081-525,500 ml,270 grs,Glass,"70,20 mm","164,00 mm",white,BG-Twist off,cylindrical,,⬇ 26413
376,10137,500 ml,280 grs,Glass,"75,00 mm","140,00 mm",glass-white,Twist Off TO 70 Tall,square,,
377,008081-359,500 ml,530 grs,Glass,"106,00 mm","98,00 mm",glass-white,,square,,
378,10578,520 ml,250 grs,Glass,"78,00 mm","147,00 mm",glass-white,Twist Off TO 66,cylindrical,,
379,008081-497,520 ml,280 grs,Glass,"75,70 mm","140,50 mm",white,Twist Off TO 70 Tall,square,,⬇ 28677
380,002022-941,530 ml,398 grs,Glass,"60,00 mm","184,00 mm",glass-white,Weck 60 mm,cylindrical,,
381,008082-367,545 ml,426 grs,Glass,"108,00 mm","113,00 mm",glass-white,Weck 100 mm,square,,
382,008082-353,560 ml,380 grs,Glass,"80,00 mm","88,00 mm",glass-white,Weck 80 mm,cylindrical,,
383,10152,580 ml,225 grs,Glass,"10.152,00 mm","127,00 mm",glass-white,Twist Off TO 66,cylindrical,,
384,008082-104,580 ml,240 grs,Glass,"80,60 mm","141,50 mm",glass-white,Twist Off TO 77,cylindrical,14,
385,008081-506,580 ml,245 grs,Glass,"82,50 mm","143,00 mm",white,BG-Twist off,cylindrical,,⬇ 65
386,008081-561,580 ml,250 grs,Glass,"87,00 mm","114,70 mm",white,BG-Twist off,hexagonal,,⬇ 11180
387,008081-598,580 ml,250 grs,Glass,"89,40 mm","121,20 mm",white,BG-Twist off,cylindrical,,⬇ 10145
388,008082-75,580 ml,260 grs,Glass,"76,00 mm","169,50 mm",glass-white,Twist Off TO 63,cylindrical,16,
389,008081-615,580 ml,260 grs,Glass,"85,20 mm","127,40 mm",white,BG-Twist off,cylindrical,,⬇ 15432
390,008081-535,580 ml,270 grs,Glass,"95,00 mm","110,70 mm",white,BG-Twist off,cylindrical,,⬇ 9418
391,008081-300,580 ml,270 grs,Glass,"103,00 mm","109,00 mm",glass-white,Twist Off TO 82,cylindrical,16,
392,30247,580 ml,280 grs,Glass,"101,00 mm","107,00 mm",glass-white,Twist Off TO 82,complex,,
393,37895,580 ml,318 grs,Glass,"100,00 / 88,20 mm","114,00 mm",glass-white,Le parfait Bistrot 86,cylindrical,,⬇ 37895
394,008081-2,580 ml,330 grs,Glass,"101,00 / 64,50 mm","141,50 mm",glass-white,Twist Off TO 70,conical,9,
395,008081-538,580 ml,330 grs,Glass,"73,20 mm","188,30 mm",white,Twist Off TO 70 Tall,cylindrical,,⬇ 12881
396,10183,580 ml,335 grs,Glass,"89,00 mm","111,00 mm",glass-white,Twist Off TO 82,square,,
397,008082-45,580 ml,345 grs,Glass,"81,00 mm","171,85 mm",glass-white,Twist Off TO 77,cylindrical,14,
398,008081-449,580 ml,350 grs,Glass,"100,70 mm","153,00 mm",white,BG-Twist off,cylindrical,,⬇ 10831
399,008081-533,580 ml,350 grs,Glass,"92,70 mm","114,10 mm",white,BG-Twist off,square,,⬇ 16418
400,008081-571,580 ml,400 grs,Glass,"69,80 mm","165,00 mm",white,BG-Twist off,square,,⬇ 17537
401,008081-582,580 ml,400 grs,Glass,"98,40 mm","124,00 mm",extrawhite,BG-Twist off,oval,,⬇ 14491
402,008081-584,580 ml,400 grs,Glass,"116,30 mm","121,50 mm",white,BG-Twist off,oval,,⬇ 14451
403,008081-634,580 ml,400 grs,Glass,"90,00 mm","111,20 mm",white,BG-Twist off,square,,⬇ 7227
404,008081-640,580 ml,400 grs,Glass,"84,80 mm","120,00 mm",white,BG-Twist off,square,,⬇ 13856
405,008082-370,580 ml,456 grs,Glass,"100,00 mm","85,00 mm",glass-white,Weck 100 mm,cylindrical,,
406,008082-372,580 ml,488 grs,Glass,"100,00 mm","107,00 mm",glass-white,Weck 100 mm,cylindrical,,
407,008082-1644,580 ml,500 grs,Glass,"72,00 mm","170,00 mm",glass-white,Twist Off TO 70 Tall,cylindrical,,
408,008082-60,600 ml,318 grs,Glass,"73,40 mm","182,00 mm",glass-white,Twist Off TO 63,cylindrical,17,
409,008082-351,600 ml,370 grs,Glass,"60,00 mm","210,00 mm",glass-white,Weck 60 mm,cylindrical,,
410,008081-232,625 ml,571 grs,Glass,"113,50 mm","107,10 mm",glass-white,Le Parfait - Finish Latex 100 mm,cylindrical,,
411,008081-222,635 ml,451 grs,Glass,"108,00 mm","109,10 mm",glass-white,Le Parfait - Finish Latex 85 mm,cylindrical,,
412,008081-627,640 ml,280 grs,Glass,"124,00 mm","81,10 mm",white,BG-Twist off,cylindrical,,⬇ 23558
413,008081-347,640 ml,297 grs,Glass,"124,00 mm","81,00 mm",glass-white,Twist Off TO 100,cylindrical,,
414,008081-672,650 ml,371 grs,Glass,"82,00 mm","161,00 mm",glass-white,,cylindrical,,
415,008082-1572,660 ml,313 grs,Glass,"138,00 mm","86,00 mm",glass-white,BG-Screw,cylindrical,,
416,008082-360,700 ml,390 grs,Glass,"88,00 mm","205,00 mm",glass-white,Weck 80 mm,cylindrical,,
417,008082-334,720 ml,230 grs,Glass,"85,00 mm","156,00 mm",glass-white,Twist Off TO 82 Alta,cylindrical,,
418,008082-15,720 ml,270 grs,Glass,"80,60 mm","172,00 mm",glass-white,Twist Off TO 77,cylindrical,14,
419,008081-517,720 ml,285 grs,Glass,"81,10 mm","172,00 mm",white,BG-Twist off,cylindrical,,⬇ 20988
420,008082-55,720 ml,290 grs,Glass,"86,80 mm","151,50 mm",glass-white,Twist Off TO 82,cylindrical,12,
421,008082-205,720 ml,290 grs,Glass,"97,90 mm","125,80 mm",glass-white,Twist Off TO 82,cylindrical,18,
422,008081-504,720 ml,290 grs,Glass,"87,50 mm","149,20 mm",white,BG-Twist off,cylindrical,,⬇ 18054
423,10507,720 ml,300 grs,Glass,"81,00 mm","172,00 mm",glass-white,Twist Off TO 77,cylindrical,,
424,008081-301,720 ml,310 grs,Glass,"107,30 / 58,80 mm","126,20 mm",glass-white,Twist Off TO 82,cylindrical,16,
425,008082-235,720 ml,325 grs,Glass,"88,90 mm","162,20 mm",glass-white,Twist Off TO 77,cylindrical,11,
426,10619,720 ml,335 grs,Glass,"86,00 mm","154,00 mm",glass-white,Twist Off TO 82 Alta,cylindrical,,
427,10321,720 ml,340 grs,Glass,"108,00 mm","158,00 mm",glass-white,Twist Off TO 70 Tall,square,,
428,30699,720 ml,340 grs,Glass,"85,00 mm","145,00 mm",glass-white,Twist Off TO 82 Alta,square,,
429,008081-494,720 ml,340 grs,Glass,"82,90 mm","158,00 mm",white,Twist Off TO 70 Tall,square,,⬇ 27019
430,008081-618,720 ml,340 grs,Glass,"85,40 mm","154,80 mm",white,BG-Twist off,cylindrical,,⬇ 22490
431,008081-531,720 ml,355 grs,Glass,"85,90 mm","149,00 mm",white,BG-Twist off,square,,⬇ 26713
432,008082-1725,720 ml,360 grs,Glass,"100,00 mm","144,00 mm",glass-white,Twist Off TO 82,hexagonal,,
433,008081-68,720 ml,360 grs,Glass,"87,00 mm","143,00 mm",glass-white,Twist Off TO 82,hexagonal,,⬇ 11283
434,008082-26,720 ml,365 grs,Glass,"108,00 mm","130,50 mm",glass-white,Twist Off TO 82,oval,16,
435,008082-46,746 ml,320 grs,Glass,"98,40 mm","135,00 mm",glass-white,Twist Off TO 77,cylindrical,18,
436,008082-412,746 ml,320 grs,Glass,"96,00 mm","134,90 mm",glass-white,Twist Off TO 82,cylindrical,18,
437,008082-5,750 ml,292 grs,Glass,"90,70 mm","144,10 mm",glass-white,Twist Off TO 82,cylindrical,11,
438,008081-592,770 ml,315 grs,Glass,"88,50 mm","155,70 mm",white,BG-Twist off,cylindrical,,⬇ 15627
439,008082-401,770 ml,360 grs,Glass,"100,00 mm","144,00 mm",glass-white,Twist Off TO 82,hexagonal,,
440,008081-555,770 ml,360 grs,Glass,"89,40 mm","143,50 mm",white,BG-Twist off,hexagonal,,⬇ 7927
441,008081-619,770 ml,365 grs,Glass,"86,50 mm","161,50 mm",white,BG-Twist off,cylindrical,,⬇ 24865
442,008082-355,795 ml,506 grs,Glass,"107,00 mm","162,00 mm",glass-white,Weck 100 mm,square,,
443,008081-363,800 ml,560 grs,Glass,"106,00 mm","145,00 mm",glass-white,,cylindrical,,
444,008081-505,850 ml,340 grs,Glass,"90,50 mm","163,20 mm",white,BG-Twist off,cylindrical,,⬇ 19286
445,008082-396,850 ml,340 grs,Glass,"122,00 mm","108,00 mm",glass-white,Twist Off TO 100,cylindrical,,
446,008082-6,850 ml,345 grs,Glass,"90,80 mm","164,60 mm",glass-white,Twist Off TO 82,cylindrical,11,
447,008082-130,850 ml,350 grs,Glass,"99,00 mm","151,00 mm",glass-white,Twist Off TO 77,cylindrical,9,
448,008081-466,850 ml,350 grs,Glass,"99,00 mm","151,00 mm",white,BG-Twist off,cylindrical,,⬇ 27273
449,008081-630,850 ml,370 grs,Glass,"122,20 mm","107,60 mm",white,BG-Twist off,cylindrical,,⬇ 8684
450,008082-371,850 ml,580 grs,Glass,"100,00 mm","147,00 mm",glass-white,Weck 100 mm,cylindrical,,
451,008081-465,858 ml,415 grs,Glass,"91,40 mm","179,40 mm",white,BG-Twist off,cylindrical,,⬇ 16909
452,008081-527,870 ml,410 grs,Glass,"99,20 mm","141,50 mm",white,BG-Twist off,cylindrical,,⬇ 11966
453,008081-233,875 ml,666 grs,Glass,"113,50 mm","137,10 mm",glass-white,Le Parfait - Finish Latex 100 mm,cylindrical,,
454,008081-645,900 ml,350 grs,Glass,"94,50 mm","162,00 mm",white,BG-Twist off,cylindrical,,⬇ 26990
455,008081-223,900 ml,561 grs,Glass,"108,00 mm","145,60 mm",glass-white,Le Parfait - Finish Latex 85 mm,cylindrical,,
456,008082-40,935 ml,400 grs,Glass,"93,00 mm","177,50 mm",glass-white,Twist Off TO 77,cylindrical,10,
457,008081-515,935 ml,410 grs,Glass,"93,00 mm","177,50 mm",white,BG-Twist off,cylindrical,,⬇ 25899
458,10534,991 ml,376 grs,Glass,"95,00 mm","179,00 mm",glass-white,Twist Off TO 70,cylindrical,,
459,008082-25,997 ml,385 grs,Glass,"105,60 mm","154,00 mm",glass-white,Twist Off TO 82,cylindrical,8,
460,008082-1571,1000 ml,462 grs,Glass,"185,00 mm","86,00 mm",glass-white,BG-Screw,cylindrical,,
461,008082-1573,1000 ml,462 grs,Glass,"185,00 mm","86,00 mm",glass-white,BG-Screw,cylindrical,,
462,008082-1612,1000 ml,498 grs,Glass,"110,00 mm","155,00 mm",glass-white,Twist Off TO 82,square,,
463,008082-1707,1000 ml,536 grs,Glass,"115,00 mm","175,00 mm",glass-white,,cylindrical,,
464,002022-1539,1000 ml,839 grs,Glass,"70,00 mm","280,00 mm",glass-white,,cylindrical,,
465,008082-216,1018 ml,425 grs,Glass,"95,80 mm","187,50 mm",glass-white,Twist Off TO 82,cylindrical,9,
466,008082-350,1040 ml,630 grs,Glass,"80,00 mm","210,00 mm",glass-white,Weck 80 mm,cylindrical,,
467,008081-509,1062 ml,370 grs,Glass,"98,00 mm","176,00 mm",white,BG-Twist off,cylindrical,,⬇ 12391
468,008081-597,1062 ml,400 grs,Glass,"106,80 mm","160,00 mm",white,BG-Twist off,cylindrical,,⬇ 10103
469,008081-616,1062 ml,450 grs,Glass,"85,40 mm","222,40 mm",white,BG-Twist off,cylindrical,,⬇ 16905
470,008082-404,1062 ml,550 grs,Glass,"99,20 mm","176,30 mm",glass-white,Twist Off TO 100,cylindrical,,
471,002022-940,1062 ml,580 grs,Glass,"60,00 mm","250,00 mm",glass-white,Weck 60 mm,cylindrical,,
472,008082-366,1062 ml,592 grs,Glass,"145,00 mm","105,00 mm",glass-white,Weck 100 mm,cylindrical,,
473,008082-369,1062 ml,640 grs,Glass,"100,00 mm","147,00 mm",glass-white,Weck 100 mm,cylindrical,,
474,008081-639,1062 ml,740 grs,Glass,"104,60 mm","145,50 mm",white,BG-Twist off,square,,⬇ 11365
475,008081-234,1115 ml,766 grs,Glass,"113,50 mm","171,60 mm",glass-white,Le Parfait - Finish Latex 100 mm,cylindrical,,
476,008081-551,1140 ml,620 grs,Glass,"108,00 mm","178,40 mm",white,BG-Swing Top,cylindrical,,⬇ 9086
477,008082-1586,1140 ml,645 grs,Glass,"108,00 mm","183,00 mm",glass-white,,cylindrical,,
478,008081-224,1160 ml,626 grs,Glass,"108,00 mm","176,10 mm",glass-white,Le Parfait - Finish Latex 85 mm,,,
479,10143,1500 ml,580 grs,Glass,"120,00 mm","177,00 mm",glass-white,Twist Off TO 82,cylindrical,,
480,10484,1500 ml,650 grs,Glass,"108,00 mm","196,00 mm",glass-white,Twist Off TO 82 Alta,square,,
481,008081-360,1500 ml,760 grs,Glass,"120,00 mm","184,90 mm",glass-white,,square,,
482,008081-225,1555 ml,741 grs,Glass,"108,00 mm","225,70 mm",glass-white,Le Parfait - Finish Latex 85 mm,cylindrical,,
483,008082-349,1590 ml,633 grs,Glass,"100,00 mm","210,00 mm",glass-white,Weck 100 mm,cylindrical,,
484,008082-1560,1700 ml,600 grs,Glass,"102,00 mm","200,00 mm",glass-white,Twist Off TO 100,hexagonal,,
485,10175,1700 ml,600 grs,Glass,"134,00 mm","175,00 mm",glass-white,Twist Off TO 82,cylindrical,,
486,008081-303,1700 ml,635 grs,Glass,"146,70 / 88,00 mm","154,50 mm",glass-white,Twist Off TO 110,cylindrical,4,
487,008081-4,1700 ml,650 grs,Glass,"135,00 mm","190,50 mm",glass-white,Twist Off TO 100,curved,5,
488,30763,1700 ml,650 grs,Glass,"148,00 mm","152,00 mm",glass-white,Twist Off TO 110,complex,,
489,10281,1700 ml,665 grs,Glass,"123,00 mm","197,00 mm",glass-white,Twist Off TO 100,hexagonal,,
490,008081-560,1700 ml,690 grs,Glass,"110,90 mm","197,30 mm",white,BG-Twist off,hexagonal,,⬇ 9165
491,008081-319,1700 ml,750 grs,Glass,"137,90 mm","193,90 mm",glass-white,Twist Off TO 100,rectangular,4,⬇ 18417
492,008081-448,1700 ml,750 grs,Glass,"141,00 mm","224,70 mm",white,BG-Twist off,cylindrical,,⬇ 6706
493,008081-513,1700 ml,750 grs,Glass,"118,60 mm","193,50 mm",white,BG-Twist off,cylindrical,,⬇ 21139
494,008082-376,1750 ml,901 grs,Glass,"120,00 mm","193,00 mm",glass-white,Weck 100 mm,cylindrical,,
495,008082-39,1966 ml,700 grs,Glass,"122,70 mm","206,00 mm",glass-white,Twist Off TO 110,cylindrical,5,
496,008081-514,1966 ml,700 grs,Glass,"122,70 mm","206,00 mm",white,BG-Twist off,cylindrical,,⬇ 25898
497,008081-226,2175 ml,886 grs,Glass,"122,30 mm","251,60 mm",glass-white,Le Parfait - Finish Latex 85 mm,cylindrical,,
498,00138-706,2200 ml,650 grs,Glass,"180,00 mm","175,00 mm",glass-white,,complex,,
499,008082-82,2650 ml,950 grs,Glass,"159,00 mm","218,50 mm",glass-white,Twist Off TO 89,oval,3,
500,008082-375,2700 ml,110 grs,Glass,"100,00 mm","242,00 mm",glass-white,Weck 100 mm,cylindrical,,
501,008081-508,3100 ml,1050 grs,Glass,"137,70 mm","257,00 mm",white,BG-Twist off,cylindrical,,⬇ 10652
502,008081-503,3100 ml,1100 grs,Glass,"138,50 mm","257,00 mm",white,BG-Twist off,cylindrical,,⬇ 21138
503,008081-570,3100 ml,1300 grs,Glass,"124,50 mm","256,50 mm",white,BG-Twist off,square,,⬇ 18762
504,008081-227,3200 ml,1401 grs,Glass,"138,00 mm","284,00 mm",glass-white,Le Parfait - Finish Latex 100 mm,cylindrical,,
505,10391,3895 ml,1200 grs,Glass,"155,00 mm","256,00 mm",glass-white,Twist Off TO 110,cylindrical,,
506,008082-38,3895 ml,1390 grs,Glass,"159,00 mm","254,50 mm",glass-white,Twist Off TO 110,cylindrical,3,
507,008081-516,3895 ml,1390 grs,Glass,"159,00 mm","254,50 mm",white,BG-Twist off,cylindrical,,⬇ 25900
508,008081-364,4000 ml,1250 grs,Glass,"159,00 mm",,glass-white,,cylindrical,,
